Ürün ID,OrderDate,ÜrünAdi,Miktar,Birim Fiyat,ToplamTutar,BirimMaliyet,ToplamMaliyet,Kar,MusteriID,Musteri,SatisTemsilcisi,F13,F14,F15
31,2022-09-30 00:00:00,Pul Biber,29,21,609,12,348,261,846,Mükellef,Ahmet Murat Düzenli,,,
22,2022-09-30 00:00:00,Mozzarella Peyniri,10,24,240,18,180,60,95,Mikla Restaurant,Merve Hilal Akinci,,,
2,2022-10-02 00:00:00,Siyah Zeytin,98,12,1176,6,588,588,23,Lacivert,Ahmet Murat Düzenli,,,
22,2022-10-03 00:00:00,Mozzarella Peyniri,45,24,1080,18,810,270,557,Leb-i Derya Restaurant,Reyhan Burcu Kalkan,,,
16,2022-10-05 00:00:00,Marul,58,15,870,14,812,58,23,Lacivert,Reyhan Burcu Kalkan,,,
100,2022-10-06 00:00:00,Parmesan Peyniri,66,8,528,4,264,264,572,360 Istanbul,Reyhan Burcu Kalkan,,,
31,2022-10-07 00:00:00,Pul Biber,85,21,1785,12,1020,765,6,Ajia Restaurant,Reyhan Burcu Kalkan,,,
22,2022-10-07 00:00:00,Mozzarella Peyniri,12,24,288,18,216,72,846,Mükellef,Merve Hilal Akinci,,,
4,2022-10-08 00:00:00,Domates,40,9,360,7,280,80,6,Ajia Restaurant,Ahmet Murat Düzenli,,,
31,2022-10-08 00:00:00,Pul Biber,5,21,105,12,60,45,6,Ajia Restaurant,Ahmet Murat Düzenli,,,
16,2022-10-08 00:00:00,Marul,49,15,735,14,686,49,572,360 Istanbul,Reyhan Burcu Kalkan,,,
30,2022-10-08 00:00:00,Kirmizi Sogan,13,12,156,8,104,52,14,Sunset Grill,Reyhan Burcu Kalkan,,,
100,2022-10-10 00:00:00,Parmesan Peyniri,38,8,304,4,152,152,95,Mikla Restaurant,Merve Hilal Akinci,,,
16,2022-10-10 00:00:00,Marul,51,15,765,14,714,51,23,Lacivert,Reyhan Burcu Kalkan,,,
30,2022-10-12 00:00:00,Kirmizi Sogan,85,12,1020,8,680,340,572,360 Istanbul,Reyhan Burcu Kalkan,,,
16,2022-10-12 00:00:00,Marul,82,15,1230,14,1148,82,14,Sunset Grill,Reyhan Burcu Kalkan,,,
39,2022-10-14 00:00:00,Ananas,64,33,2112,28,1792,320,846,Mükellef,Reyhan Burcu Kalkan,,,
22,2022-10-15 00:00:00,Mozzarella Peyniri,22,24,528,18,396,132,846,Mükellef,Merve Hilal Akinci,,,
16,2022-10-15 00:00:00,Marul,74,15,1110,14,1036,74,6,Ajia Restaurant,Reyhan Burcu Kalkan,,,
4,2022-10-15 00:00:00,Domates,13,9,117,7,91,26,686,Mürver Restaurant,Ahmet Murat Düzenli,,,
4,2022-10-15 00:00:00,Domates,64,9,576,7,448,128,6,Ajia Restaurant,Reyhan Burcu Kalkan,,,
31,2022-10-16 00:00:00,Pul Biber,59,21,1239,12,708,531,23,Lacivert,Ahmet Murat Düzenli,,,
6,2022-10-17 00:00:00,Gün Kurusu Domates,12,55,660,25,300,360,6,Ajia Restaurant,Reyhan Burcu Kalkan,,,
16,2022-10-19 00:00:00,Marul,7,15,105,14,98,7,95,Mikla Restaurant,Merve Hilal Akinci,,,
100,2022-10-19 00:00:00,Parmesan Peyniri,14,8,112,4,56,56,95,Mikla Restaurant,Reyhan Burcu Kalkan,,,
30,2022-10-20 00:00:00,Kirmizi Sogan,7,12,84,8,56,28,23,Lacivert,Reyhan Burcu Kalkan,,,
16,2022-10-20 00:00:00,Marul,87,15,1305,14,1218,87,23,Lacivert,Ahmet Murat Düzenli,,,
4,2022-10-21 00:00:00,Domates,70,9,630,7,490,140,557,Leb-i Derya Restaurant,Ahmet Murat Düzenli,,,
100,2022-10-21 00:00:00,Parmesan Peyniri,38,8,304,4,152,152,95,Mikla Restaurant,Merve Hilal Akinci,,,
2,2022-10-22 00:00:00,Siyah Zeytin,4,12,48,6,24,24,6,Ajia Restaurant,Reyhan Burcu Kalkan,,,
31,2022-10-23 00:00:00,Pul Biber,44,21,924,12,528,396,557,Leb-i Derya Restaurant,Ahmet Murat Düzenli,,,
19,2022-10-25 00:00:00,Patlican,41,36,1476,25,1025,451,14,Sunset Grill,Ahmet Murat Düzenli,,,
16,2022-10-26 00:00:00,Marul,15,15,225,14,210,15,686,Mürver Restaurant,Reyhan Burcu Kalkan,,,
30,2022-10-27 00:00:00,Kirmizi Sogan,76,12,912,8,608,304,14,Sunset Grill,Reyhan Burcu Kalkan,,,
4,2022-10-28 00:00:00,Domates,49,9,441,7,343,98,846,Mükellef,Reyhan Burcu Kalkan,,,
4,2022-10-29 00:00:00,Domates,86,9,774,7,602,172,14,Sunset Grill,Ahmet Murat Düzenli,,,
16,2022-10-29 00:00:00,Marul,68,15,1020,14,952,68,14,Sunset Grill,Reyhan Burcu Kalkan,,,
19,2022-10-29 00:00:00,Patlican,50,36,1800,25,1250,550,14,Sunset Grill,Ahmet Murat Düzenli,,,
31,2022-10-30 00:00:00,Pul Biber,31,21,651,12,372,279,14,Sunset Grill,Ahmet Murat Düzenli,,,
31,2022-10-31 00:00:00,Pul Biber,62,21,1302,12,744,558,572,360 Istanbul,Reyhan Burcu Kalkan,,,
4,2022-10-31 00:00:00,Domates,13,9,117,7,91,26,572,360 Istanbul,Reyhan Burcu Kalkan,,,
4,2022-11-01 00:00:00,Domates,84,9,756,7,588,168,846,Mükellef,Reyhan Burcu Kalkan,,,
19,2022-11-03 00:00:00,Patlican,55,36,1980,25,1375,605,14,Sunset Grill,Reyhan Burcu Kalkan,,,
31,2022-11-03 00:00:00,Pul Biber,89,21,1869,12,1068,801,95,Mikla Restaurant,Ahmet Murat Düzenli,,,
39,2022-11-05 00:00:00,Ananas,56,33,1848,28,1568,280,557,Leb-i Derya Restaurant,Reyhan Burcu Kalkan,,,
2,2022-11-05 00:00:00,Siyah Zeytin,16,12,192,6,96,96,95,Mikla Restaurant,Reyhan Burcu Kalkan,,,
6,2022-11-06 00:00:00,Gün Kurusu Domates,2,55,110,25,50,60,6,Ajia Restaurant,Reyhan Burcu Kalkan,,,
39,2022-11-07 00:00:00,Ananas,67,33,2211,28,1876,335,6,Ajia Restaurant,Ahmet Murat Düzenli,,,
4,2022-11-07 00:00:00,Domates,2,9,18,7,14,4,95,Mikla Restaurant,Reyhan Burcu Kalkan,,,
4,2022-11-07 00:00:00,Domates,59,9,531,7,413,118,846,Mükellef,Reyhan Burcu Kalkan,,,
4,2022-11-08 00:00:00,Domates,37,9,333,7,259,74,572,360 Istanbul,Ahmet Murat Düzenli,,,
100,2022-11-09 00:00:00,Parmesan Peyniri,19,8,152,4,76,76,686,Mürver Restaurant,Reyhan Burcu Kalkan,,,
39,2022-11-10 00:00:00,Ananas,48,33,1584,28,1344,240,14,Sunset Grill,Ahmet Murat Düzenli,,,
4,2022-11-10 00:00:00,Domates,41,9,369,7,287,82,572,360 Istanbul,Reyhan Burcu Kalkan,,,
19,2022-11-10 00:00:00,Patlican,64,36,2304,25,1600,704,6,Ajia Restaurant,Ahmet Murat Düzenli,,,
31,2022-11-10 00:00:00,Pul Biber,33,21,693,12,396,297,6,Ajia Restaurant,Reyhan Burcu Kalkan,,,
16,2022-11-11 00:00:00,Marul,66,15,990,14,924,66,557,Leb-i Derya Restaurant,Reyhan Burcu Kalkan,,,
22,2022-11-11 00:00:00,Mozzarella Peyniri,92,24,2208,18,1656,552,6,Ajia Restaurant,Ahmet Murat Düzenli,,,
2,2022-11-11 00:00:00,Siyah Zeytin,32,12,384,6,192,192,686,Mürver Restaurant,Ahmet Murat Düzenli,,,
4,2022-11-11 00:00:00,Domates,17,9,153,7,119,34,95,Mikla Restaurant,Reyhan Burcu Kalkan,,,
19,2022-11-12 00:00:00,Patlican,83,36,2988,25,2075,913,23,Lacivert,Reyhan Burcu Kalkan,,,
30,2022-11-13 00:00:00,Kirmizi Sogan,89,12,1068,8,712,356,846,Mükellef,Reyhan Burcu Kalkan,,,
16,2022-11-13 00:00:00,Marul,8,15,120,14,112,8,6,Ajia Restaurant,Ahmet Murat Düzenli,,,
19,2022-11-14 00:00:00,Patlican,25,36,900,25,625,275,572,360 Istanbul,Reyhan Burcu Kalkan,,,
16,2022-11-14 00:00:00,Marul,5,15,75,14,70,5,557,Leb-i Derya Restaurant,Reyhan Burcu Kalkan,,,
2,2022-11-14 00:00:00,Siyah Zeytin,73,12,876,6,438,438,14,Sunset Grill,Ahmet Murat Düzenli,,,
16,2022-11-15 00:00:00,Marul,36,15,540,14,504,36,557,Leb-i Derya Restaurant,Merve Hilal Akinci,,,
4,2022-11-15 00:00:00,Domates,16,9,144,7,112,32,846,Mükellef,Ahmet Murat Düzenli,,,
39,2022-11-17 00:00:00,Ananas,33,33,1089,28,924,165,572,360 Istanbul,Reyhan Burcu Kalkan,,,
30,2022-11-17 00:00:00,Kirmizi Sogan,90,12,1080,8,720,360,14,Sunset Grill,Reyhan Burcu Kalkan,,,
16,2022-11-17 00:00:00,Marul,74,15,1110,14,1036,74,95,Mikla Restaurant,Ahmet Murat Düzenli,,,
16,2022-11-18 00:00:00,Marul,72,15,1080,14,1008,72,557,Leb-i Derya Restaurant,Ahmet Murat Düzenli,,,
4,2022-11-18 00:00:00,Domates,53,9,477,7,371,106,23,Lacivert,Reyhan Burcu Kalkan,,,
30,2022-11-19 00:00:00,Kirmizi Sogan,59,12,708,8,472,236,6,Ajia Restaurant,Reyhan Burcu Kalkan,,,
31,2022-11-20 00:00:00,Pul Biber,71,21,1491,12,852,639,557,Leb-i Derya Restaurant,Ahmet Murat Düzenli,,,
16,2022-11-20 00:00:00,Marul,9,15,135,14,126,9,572,360 Istanbul,Reyhan Burcu Kalkan,,,
39,2022-11-21 00:00:00,Ananas,95,33,3135,28,2660,475,95,Mikla Restaurant,Reyhan Burcu Kalkan,,,
16,2022-11-22 00:00:00,Marul,72,15,1080,14,1008,72,23,Lacivert,Ahmet Murat Düzenli,,,
100,2022-11-22 00:00:00,Parmesan Peyniri,39,8,312,4,156,156,95,Mikla Restaurant,Reyhan Burcu Kalkan,,,
16,2022-11-23 00:00:00,Marul,68,15,1020,14,952,68,6,Ajia Restaurant,Ahmet Murat Düzenli,,,
16,2022-11-23 00:00:00,Marul,38,15,570,14,532,38,6,Ajia Restaurant,Reyhan Burcu Kalkan,,,
4,2022-11-24 00:00:00,Domates,87,9,783,7,609,174,846,Mükellef,Reyhan Burcu Kalkan,,,
30,2022-11-26 00:00:00,Kirmizi Sogan,54,12,648,8,432,216,95,Mikla Restaurant,Reyhan Burcu Kalkan,,,
31,2022-11-27 00:00:00,Pul Biber,85,21,1785,12,1020,765,95,Mikla Restaurant,Reyhan Burcu Kalkan,,,
19,2022-11-29 00:00:00,Patlican,1,36,36,25,25,11,14,Sunset Grill,Reyhan Burcu Kalkan,,,
4,2022-11-30 00:00:00,Domates,93,9,837,7,651,186,557,Leb-i Derya Restaurant,Reyhan Burcu Kalkan,,,
85,2022-12-01 00:00:00,Sucuk,41,53,2173,35,1435,738,686,Mürver Restaurant,Ahmet Murat Düzenli,,,
100,2022-12-04 00:00:00,Parmesan Peyniri,95,8,760,4,380,380,557,Leb-i Derya Restaurant,Ahmet Murat Düzenli,,,
31,2022-12-05 00:00:00,Pul Biber,7,21,147,12,84,63,23,Lacivert,Ahmet Murat Düzenli,,,
31,2022-12-05 00:00:00,Pul Biber,92,21,1932,12,1104,828,572,360 Istanbul,Merve Hilal Akinci,,,
85,2022-12-06 00:00:00,Sucuk,30,53,1590,35,1050,540,14,Sunset Grill,Ahmet Murat Düzenli,,,
4,2022-12-07 00:00:00,Domates,38,9,342,7,266,76,686,Mürver Restaurant,Ahmet Murat Düzenli,,,
31,2022-12-08 00:00:00,Pul Biber,21,21,441,12,252,189,23,Lacivert,Reyhan Burcu Kalkan,,,
100,2022-12-09 00:00:00,Parmesan Peyniri,95,8,760,4,380,380,95,Mikla Restaurant,Merve Hilal Akinci,,,
4,2022-12-10 00:00:00,Domates,69,9,621,7,483,138,95,Mikla Restaurant,Reyhan Burcu Kalkan,,,
16,2022-12-10 00:00:00,Marul,96,15,1440,14,1344,96,14,Sunset Grill,Ahmet Murat Düzenli,,,
4,2022-12-11 00:00:00,Domates,36,9,324,7,252,72,315,Vogue,Reyhan Burcu Kalkan,,,
22,2022-12-12 00:00:00,Mozzarella Peyniri,86,24,2064,18,1548,516,686,Mürver Restaurant,Ahmet Murat Düzenli,,,
30,2022-12-12 00:00:00,Kirmizi Sogan,58,12,696,8,464,232,557,Leb-i Derya Restaurant,Reyhan Burcu Kalkan,,,
100,2022-12-13 00:00:00,Parmesan Peyniri,99,8,792,4,396,396,233,Nusr-Et Steakhouse,Ahmet Murat Düzenli,,,
16,2022-12-15 00:00:00,Marul,63,15,945,14,882,63,557,Leb-i Derya Restaurant,Merve Hilal Akinci,,,
31,2022-12-15 00:00:00,Pul Biber,15,21,315,12,180,135,846,Mükellef,Merve Hilal Akinci,,,
85,2022-12-15 00:00:00,Sucuk,11,53,583,35,385,198,23,Lacivert,Ahmet Murat Düzenli,,,
2,2022-12-17 00:00:00,Siyah Zeytin,89,12,1068,6,534,534,557,Leb-i Derya Restaurant,Reyhan Burcu Kalkan,,,
2,2022-12-17 00:00:00,Siyah Zeytin,77,12,924,6,462,462,846,Mükellef,Reyhan Burcu Kalkan,,,
100,2022-12-17 00:00:00,Parmesan Peyniri,16,8,128,4,64,64,14,Sunset Grill,Reyhan Burcu Kalkan,,,
100,2022-12-18 00:00:00,Parmesan Peyniri,58,8,464,4,232,232,846,Mükellef,Reyhan Burcu Kalkan,,,
4,2022-12-18 00:00:00,Domates,55,9,495,7,385,110,6,Ajia Restaurant,Reyhan Burcu Kalkan,,,
19,2022-12-19 00:00:00,Patlican,59,36,2124,25,1475,649,6,Ajia Restaurant,Reyhan Burcu Kalkan,,,
19,2022-12-20 00:00:00,Patlican,2,36,72,25,50,22,686,Mürver Restaurant,Ahmet Murat Düzenli,,,
31,2022-12-20 00:00:00,Pul Biber,85,21,1785,12,1020,765,6,Ajia Restaurant,Ahmet Murat Düzenli,,,
22,2022-12-21 00:00:00,Mozzarella Peyniri,11,24,264,18,198,66,23,Lacivert,Reyhan Burcu Kalkan,,,
4,2022-12-21 00:00:00,Domates,84,9,756,7,588,168,14,Sunset Grill,Reyhan Burcu Kalkan,,,
16,2022-12-22 00:00:00,Marul,82,15,1230,14,1148,82,6,Ajia Restaurant,Reyhan Burcu Kalkan,,,
100,2022-12-22 00:00:00,Parmesan Peyniri,18,8,144,4,72,72,557,Leb-i Derya Restaurant,Reyhan Burcu Kalkan,,,
19,2022-12-22 00:00:00,Patlican,43,36,1548,25,1075,473,315,Vogue,Reyhan Burcu Kalkan,,,
16,2022-12-23 00:00:00,Marul,29,15,435,14,406,29,572,360 Istanbul,Reyhan Burcu Kalkan,,,
22,2022-12-24 00:00:00,Mozzarella Peyniri,78,24,1872,18,1404,468,572,360 Istanbul,Merve Hilal Akinci,,,
30,2022-12-25 00:00:00,Kirmizi Sogan,61,12,732,8,488,244,686,Mürver Restaurant,Reyhan Burcu Kalkan,,,
16,2022-12-26 00:00:00,Marul,17,15,255,14,238,17,14,Sunset Grill,Ahmet Murat Düzenli,,,
22,2022-12-26 00:00:00,Mozzarella Peyniri,60,24,1440,18,1080,360,846,Mükellef,Reyhan Burcu Kalkan,,,
100,2022-12-27 00:00:00,Parmesan Peyniri,27,8,216,4,108,108,6,Ajia Restaurant,Reyhan Burcu Kalkan,,,
98,2022-12-27 00:00:00,Nar Eskisi,74,18,1332,8,592,740,315,Vogue,Reyhan Burcu Kalkan,,,
98,2022-12-28 00:00:00,Nar Eskisi,36,18,648,8,288,360,557,Leb-i Derya Restaurant,Reyhan Burcu Kalkan,,,
6,2022-12-28 00:00:00,Gün Kurusu Domates,9,55,495,25,225,270,686,Mürver Restaurant,Reyhan Burcu Kalkan,,,
100,2022-12-28 00:00:00,Parmesan Peyniri,16,8,128,4,64,64,846,Mükellef,Reyhan Burcu Kalkan,,,
85,2022-12-28 00:00:00,Sucuk,80,53,4240,35,2800,1440,23,Lacivert,Ahmet Murat Düzenli,,,
100,2022-12-28 00:00:00,Parmesan Peyniri,34,8,272,4,136,136,14,Sunset Grill,Ahmet Murat Düzenli,,,
22,2022-12-30 00:00:00,Mozzarella Peyniri,14,24,336,18,252,84,6,Ajia Restaurant,Reyhan Burcu Kalkan,,,
16,2022-12-30 00:00:00,Marul,30,15,450,14,420,30,846,Mükellef,Ahmet Murat Düzenli,,,
16,2022-12-31 00:00:00,Marul,34,15,510,14,476,34,6,Ajia Restaurant,Ahmet Murat Düzenli,,,
16,2022-12-31 00:00:00,Marul,17,15,255,14,238,17,572,360 Istanbul,Ahmet Murat Düzenli,,,
31,2022-12-31 00:00:00,Pul Biber,28,21,588,12,336,252,846,Mükellef,Ahmet Murat Düzenli,,,
31,2023-01-01 00:00:00,Pul Biber,45,21,945,12,540,405,557,Leb-i Derya Restaurant,Merve Hilal Akinci,,,
16,2023-01-01 00:00:00,Marul,54,15,810,14,756,54,233,Nusr-Et Steakhouse,Reyhan Burcu Kalkan,,,
30,2023-01-01 00:00:00,Kirmizi Sogan,23,12,276,8,184,92,6,Ajia Restaurant,Reyhan Burcu Kalkan,,,
16,2023-01-01 00:00:00,Marul,85,15,1275,14,1190,85,686,Mürver Restaurant,Ahmet Murat Düzenli,,,
100,2023-01-01 00:00:00,Parmesan Peyniri,89,8,712,4,356,356,23,Lacivert,Ahmet Murat Düzenli,,,
16,2023-01-01 00:00:00,Marul,24,15,360,14,336,24,686,Mürver Restaurant,Ahmet Murat Düzenli,,,
30,2023-01-03 00:00:00,Kirmizi Sogan,85,12,1020,8,680,340,14,Sunset Grill,Reyhan Burcu Kalkan,,,
4,2023-01-03 00:00:00,Domates,86,9,774,7,602,172,6,Ajia Restaurant,Ahmet Murat Düzenli,,,
30,2023-01-04 00:00:00,Kirmizi Sogan,95,12,1140,8,760,380,686,Mürver Restaurant,Reyhan Burcu Kalkan,,,
4,2023-01-04 00:00:00,Domates,19,9,171,7,133,38,14,Sunset Grill,Reyhan Burcu Kalkan,,,
4,2023-01-05 00:00:00,Domates,82,9,738,7,574,164,233,Nusr-Et Steakhouse,Reyhan Burcu Kalkan,,,
30,2023-01-06 00:00:00,Kirmizi Sogan,48,12,576,8,384,192,557,Leb-i Derya Restaurant,Merve Hilal Akinci,,,
100,2023-01-07 00:00:00,Parmesan Peyniri,10,8,80,4,40,40,572,360 Istanbul,Merve Hilal Akinci,,,
4,2023-01-08 00:00:00,Domates,62,9,558,7,434,124,846,Mükellef,Reyhan Burcu Kalkan,,,
39,2023-01-10 00:00:00,Ananas,3,33,99,28,84,15,572,360 Istanbul,Reyhan Burcu Kalkan,,,
30,2023-01-10 00:00:00,Kirmizi Sogan,25,12,300,8,200,100,23,Lacivert,Reyhan Burcu Kalkan,,,
4,2023-01-11 00:00:00,Domates,25,9,225,7,175,50,23,Lacivert,Reyhan Burcu Kalkan,,,
16,2023-01-12 00:00:00,Marul,84,15,1260,14,1176,84,846,Mükellef,Reyhan Burcu Kalkan,,,
39,2023-01-12 00:00:00,Ananas,51,33,1683,28,1428,255,95,Mikla Restaurant,Reyhan Burcu Kalkan,,,
2,2023-01-13 00:00:00,Siyah Zeytin,63,12,756,6,378,378,23,Lacivert,Reyhan Burcu Kalkan,,,
16,2023-01-13 00:00:00,Marul,18,15,270,14,252,18,315,Vogue,Reyhan Burcu Kalkan,,,
4,2023-01-13 00:00:00,Domates,10,9,90,7,70,20,14,Sunset Grill,Reyhan Burcu Kalkan,,,
19,2023-01-14 00:00:00,Patlican,84,36,3024,25,2100,924,23,Lacivert,Reyhan Burcu Kalkan,,,
22,2023-01-15 00:00:00,Mozzarella Peyniri,69,24,1656,18,1242,414,557,Leb-i Derya Restaurant,Reyhan Burcu Kalkan,,,
16,2023-01-15 00:00:00,Marul,88,15,1320,14,1232,88,572,360 Istanbul,Reyhan Burcu Kalkan,,,
16,2023-01-17 00:00:00,Marul,98,15,1470,14,1372,98,686,Mürver Restaurant,Reyhan Burcu Kalkan,,,
98,2023-01-18 00:00:00,Nar Eskisi,52,18,936,8,416,520,572,360 Istanbul,Reyhan Burcu Kalkan,,,
100,2023-01-19 00:00:00,Parmesan Peyniri,28,8,224,4,112,112,846,Mükellef,Reyhan Burcu Kalkan,,,
30,2023-01-19 00:00:00,Kirmizi Sogan,79,12,948,8,632,316,572,360 Istanbul,Reyhan Burcu Kalkan,,,
30,2023-01-21 00:00:00,Kirmizi Sogan,53,12,636,8,424,212,846,Mükellef,Reyhan Burcu Kalkan,,,
100,2023-01-21 00:00:00,Parmesan Peyniri,78,8,624,4,312,312,95,Mikla Restaurant,Reyhan Burcu Kalkan,,,
100,2023-01-21 00:00:00,Parmesan Peyniri,69,8,552,4,276,276,686,Mürver Restaurant,Ahmet Murat Düzenli,,,
31,2023-01-21 00:00:00,Pul Biber,60,21,1260,12,720,540,572,360 Istanbul,Ahmet Murat Düzenli,,,
19,2023-01-21 00:00:00,Patlican,34,36,1224,25,850,374,95,Mikla Restaurant,Reyhan Burcu Kalkan,,,
4,2023-01-22 00:00:00,Domates,30,9,270,7,210,60,23,Lacivert,Reyhan Burcu Kalkan,,,
16,2023-01-23 00:00:00,Marul,60,15,900,14,840,60,95,Mikla Restaurant,Reyhan Burcu Kalkan,,,
100,2023-01-23 00:00:00,Parmesan Peyniri,78,8,624,4,312,312,315,Vogue,Reyhan Burcu Kalkan,,,
100,2023-01-24 00:00:00,Parmesan Peyniri,46,8,368,4,184,184,23,Lacivert,Ahmet Murat Düzenli,,,
39,2023-01-25 00:00:00,Ananas,65,33,2145,28,1820,325,846,Mükellef,Reyhan Burcu Kalkan,,,
31,2023-01-26 00:00:00,Pul Biber,88,21,1848,12,1056,792,95,Mikla Restaurant,Reyhan Burcu Kalkan,,,
30,2023-01-26 00:00:00,Kirmizi Sogan,76,12,912,8,608,304,557,Leb-i Derya Restaurant,Reyhan Burcu Kalkan,,,
100,2023-01-26 00:00:00,Parmesan Peyniri,11,8,88,4,44,44,572,360 Istanbul,Reyhan Burcu Kalkan,,,
22,2023-01-26 00:00:00,Mozzarella Peyniri,35,24,840,18,630,210,6,Ajia Restaurant,Ahmet Murat Düzenli,,,
16,2023-01-26 00:00:00,Marul,98,15,1470,14,1372,98,233,Nusr-Et Steakhouse,Ahmet Murat Düzenli,,,
31,2023-01-27 00:00:00,Pul Biber,57,21,1197,12,684,513,846,Mükellef,Reyhan Burcu Kalkan,,,
31,2023-01-28 00:00:00,Pul Biber,11,21,231,12,132,99,95,Mikla Restaurant,Ahmet Murat Düzenli,,,
31,2023-01-28 00:00:00,Pul Biber,81,21,1701,12,972,729,6,Ajia Restaurant,Reyhan Burcu Kalkan,,,
19,2023-01-29 00:00:00,Patlican,93,36,3348,25,2325,1023,95,Mikla Restaurant,Reyhan Burcu Kalkan,,,
16,2023-01-30 00:00:00,Marul,2,15,30,14,28,2,572,360 Istanbul,Reyhan Burcu Kalkan,,,
98,2023-01-30 00:00:00,Nar Eskisi,78,18,1404,8,624,780,14,Sunset Grill,Ahmet Murat Düzenli,,,
30,2023-01-31 00:00:00,Kirmizi Sogan,99,12,1188,8,792,396,557,Leb-i Derya Restaurant,Reyhan Burcu Kalkan,,,
98,2023-01-31 00:00:00,Nar Eskisi,43,18,774,8,344,430,686,Mürver Restaurant,Ahmet Murat Düzenli,,,
39,2023-01-31 00:00:00,Ananas,51,33,1683,28,1428,255,572,360 Istanbul,Reyhan Burcu Kalkan,,,
16,2023-02-02 00:00:00,Marul,46,15,690,14,644,46,23,Lacivert,Reyhan Burcu Kalkan,,,
39,2023-02-03 00:00:00,Ananas,29,33,957,28,812,145,557,Leb-i Derya Restaurant,Reyhan Burcu Kalkan,,,
30,2023-02-03 00:00:00,Kirmizi Sogan,63,12,756,8,504,252,23,Lacivert,Reyhan Burcu Kalkan,,,
39,2023-02-04 00:00:00,Ananas,60,33,1980,28,1680,300,557,Leb-i Derya Restaurant,Reyhan Burcu Kalkan,,,
100,2023-02-04 00:00:00,Parmesan Peyniri,46,8,368,4,184,184,6,Ajia Restaurant,Reyhan Burcu Kalkan,,,
4,2023-02-05 00:00:00,Domates,5,9,45,7,35,10,14,Sunset Grill,Ahmet Murat Düzenli,,,
31,2023-02-05 00:00:00,Pul Biber,92,21,1932,12,1104,828,557,Leb-i Derya Restaurant,Ahmet Murat Düzenli,,,
31,2023-02-05 00:00:00,Pul Biber,1,21,21,12,12,9,95,Mikla Restaurant,Ahmet Murat Düzenli,,,
31,2023-02-06 00:00:00,Pul Biber,33,21,693,12,396,297,14,Sunset Grill,Reyhan Burcu Kalkan,,,
4,2023-02-06 00:00:00,Domates,56,9,504,7,392,112,23,Lacivert,Reyhan Burcu Kalkan,,,
4,2023-02-08 00:00:00,Domates,54,9,486,7,378,108,23,Lacivert,Ahmet Murat Düzenli,,,
85,2023-02-09 00:00:00,Sucuk,63,53,3339,35,2205,1134,233,Nusr-Et Steakhouse,Ahmet Murat Düzenli,,,
30,2023-02-11 00:00:00,Kirmizi Sogan,48,12,576,8,384,192,686,Mürver Restaurant,Reyhan Burcu Kalkan,,,
